identif_mask,modelo,score,restritivo,positivo,msg,anomesdia
1,YWZ,643822,643,822,,20210331
2,YWZ,3003,3,3,,20210331
3,YWZ,742601,742,601,,20210331
4,YWZ,3003,3,3,,20210331
5,YWZ,742000,742,0,,20210331
6,YWZ,742000,742,0,,20210331
7,YWZ,793756,793,756,,20210331
8,YWZ,649791,649,791,,20210331
9,YWZ,839747,839,747,,20210331
10,YWZ,910814,910,814,,20210331
11,YWZ,742000,742,0,,20210331
12,YWZ,832862,832,862,,20210331
13,YWZ,xxx,,,,20210331
14,YWZ,3003,3,3,,20210331
15,YWZ,667000,667,0,,20210331
16,YWZ,3003,3,3,,20210331
17,YWZ,3003,3,3,,20210331
18,YWZ,3003,3,3,,20210331
19,YWZ,3003,3,3,,20210331
20,YWZ,3003,3,3,,20210331
21,YWZ,702862,702,862,,20210331
22,YWZ,742000,742,0,,20210331
23,YWZ,674822,674,822,,20210331
24,YWZ,789822,789,822,,20210331
25,YWZ,700000,700,0,,20210331
26,YWZ,552000,552,0,,20210331
27,YWZ,742000,742,0,,20210331
28,YWZ,753814,753,814,,20210331
29,YWZ,3003,3,3,,20210331
30,YWZ,718000,718,0,,20210331
31,YWZ,3003,3,3,,20210331
32,YWZ,3003,3,3,,20210331
33,YWZ,392577,392,577,,20210331
34,YWZ,802862,802,862,,20210331
35,YWZ,1001,1,1,,20210331
36,YWZ,553572,553,572,,20210331
37,YWZ,799000,799,0,,20210331
38,YWZ,626756,626,756,,20210331
39,YWZ,691608,691,608,,20210331
40,YWZ,781851,781,851,,20210331
41,YWZ,742000,742,0,,20210331
42,YWZ,742000,742,0,,20210331
43,YWZ,3003,3,3,,20210331
44,YWZ,742000,742,0,,20210331
45,YWZ,767594,767,594,,20210331
46,YWZ,3003,3,3,,20210331
47,YWZ,780862,780,862,,20210331
48,YWZ,3003,3,3,,20210331
49,YWZ,3003,3,3,,20210331
50,YWZ,739584,739,584,,20210331
51,YWZ,742000,742,0,,20210331
52,YWZ,3003,3,3,,20210331
53,YWZ,640345,640,345,,20210331
54,YWZ,3003,3,3,,20210331
55,YWZ,807728,807,728,,20210331
56,YWZ,746924,746,924,,20210331
57,YWZ,657628,657,628,,20210331
58,YWZ,719862,719,862,,20210331
59,YWZ,3003,3,3,,20210331
60,YWZ,742000,742,0,,20210331
61,YWZ,781851,781,851,,20210331
62,YWZ,774000,774,0,,20210331
63,YWZ,1001,1,1,,20210331
64,YWZ,3003,3,3,,20210331
65,YWZ,3003,3,3,,20210331
66,YWZ,615000,615,0,,20210331
67,YWZ,711924,711,924,,20210331
68,YWZ,598576,598,576,,20210331
69,YWZ,799000,799,0,,20210331
70,YWZ,742000,742,0,,20210331
71,YWZ,628000,628,0,,20210331
72,YWZ,3003,3,3,,20210331
73,YWZ,742000,742,0,,20210331
74,YWZ,3003,3,3,,20210331
75,YWZ,704651,704,651,,20210331
76,YWZ,598000,598,0,,20210331
77,YWZ,742000,742,0,,20210331
78,YWZ,3003,3,3,,20210331
79,YWZ,521824,521,824,,20210331
80,YWZ,742000,742,0,,20210331
81,YWZ,3003,3,3,,20210331
82,YWZ,3003,3,3,,20210331
83,YWZ,707000,707,0,,20210331
84,YWZ,662810,662,810,,20210331
85,YWZ,3003,3,3,,20210331
86,YWZ,742000,742,0,,20210331
87,YWZ,3003,3,3,,20210331
88,YWZ,876000,876,0,,20210331
89,YWZ,798000,798,0,,20210331
90,YWZ,805000,805,0,,20210331
91,YWZ,786924,786,924,,20210331
92,YWZ,742000,742,0,,20210331
93,YWZ,775000,775,0,,20210331
94,YWZ,785000,785,0,,20210331
95,YWZ,3003,3,3,,20210331
96,YWZ,3003,3,3,,20210331
97,YWZ,3003,3,3,,20210331
98,YWZ,,,,,
99,YWZ,599000,599,0,,20210331
100,YWZ,3003,3,3,,20210331
101,YWZ,864862,864,862,,20210331
102,YWZ,813862,813,862,,20210331
103,YWZ,3003,3,3,,20210331
104,YWZ,600000,600,0,,20210331
105,YWZ,742000,742,0,,20210331
106,YWZ,3003,3,3,,20210331
107,YWZ,3003,3,3,,20210331
108,YWZ,1001,1,1,,20210331
109,YWZ,742000,742,0,,20210331
110,YWZ,3003,3,3,,20210331
111,YWZ,599000,599,0,,20210331
112,YWZ,742000,742,0,,20210331
113,YWZ,667608,667,608,,20210331
114,YWZ,602000,602,0,,20210331
115,YWZ,614543,614,543,,20210331
116,YWZ,599862,599,862,,20210331
117,YWZ,3003,3,3,,20210331
118,YWZ,717862,717,862,,20210331
119,YWZ,3003,3,3,,20210331
120,YWZ,732000,732,0,,20210331
121,YWZ,690712,690,712,,20210331
122,YWZ,3003,3,3,,20210331
123,YWZ,783000,783,0,,20210331
124,YWZ,840924,840,924,,20210331
125,YWZ,3003,3,3,,20210331
126,YWZ,708000,708,0,,20210331
127,YWZ,576000,576,0,,20210331
128,YWZ,608554,608,554,,20210331
129,YWZ,666000,666,0,,20210331
130,YWZ,780862,780,862,,20210331
131,YWZ,802000,802,0,,20210331
132,YWZ,615000,615,0,,20210331
133,YWZ,646000,646,0,,20210331
134,YWZ,942924,942,924,,20210331
135,YWZ,3003,3,3,,20210331
136,YWZ,656000,656,0,,20210331
137,YWZ,657000,657,0,,20210331
138,YWZ,794608,794,608,,20210331
139,YWZ,742000,742,0,,20210331
140,YWZ,742000,742,0,,20210331
141,YWZ,811774,811,774,,20210331
142,YWZ,3003,3,3,,20210331
143,YWZ,742000,742,0,,20210331
144,YWZ,742554,742,554,,20210331
145,YWZ,486000,486,0,,20210331
146,YWZ,742000,742,0,,20210331
147,YWZ,773000,773,0,,20210331
148,YWZ,547527,547,527,,20210331
149,YWZ,650000,650,0,,20210331
150,YWZ,761000,761,0,,20210331
151,YWZ,3003,3,3,,20210331
152,YWZ,872862,872,862,,20210331
153,YWZ,736851,736,851,,20210331
154,YWZ,3003,3,3,,20210331
155,YWZ,890000,890,0,,20210331
156,YWZ,3003,3,3,,20210331
157,YWZ,846862,846,862,,20210331
158,YWZ,742608,742,608,,20210331
159,YWZ,802000,802,0,,20210331
160,YWZ,711000,711,0,,20210331
161,YWZ,742626,742,626,,20210331
162,YWZ,742000,742,0,,20210331
163,YWZ,3003,3,3,,20210331
164,YWZ,685000,685,0,,20210331
165,YWZ,761862,761,862,,20210331
166,YWZ,664769,664,769,,20210331
167,YWZ,896862,896,862,,20210331
168,YWZ,3003,3,3,,20210331
169,YWZ,604650,604,650,,20210331
170,YWZ,3003,3,3,,20210331
171,YWZ,643608,643,608,,20210331
172,YWZ,877924,877,924,,20210331
173,YWZ,837608,837,608,,20210331
174,YWZ,762000,762,0,,20210331
175,YWZ,777673,777,673,,20210331
176,YWZ,3003,3,3,,20210331
177,YWZ,3003,3,3,,20210331
178,YWZ,767678,767,678,,20210331
179,YWZ,742000,742,0,,20210331
180,YWZ,742862,742,862,,20210331
181,YWZ,742828,742,828,,20210331
182,YWZ,3003,3,3,,20210331
183,YWZ,3003,3,3,,20210331
184,YWZ,870000,870,0,,20210331
185,YWZ,3003,3,3,,20210331
186,YWZ,742000,742,0,,20210331
187,YWZ,645791,645,791,,20210331
188,YWZ,862000,862,0,,20210331
189,YWZ,742000,742,0,,20210331
190,YWZ,799747,799,747,,20210331
191,YWZ,3003,3,3,,20210331
192,YWZ,741924,741,924,,20210331
193,YWZ,491000,491,0,,20210331
194,YWZ,3003,3,3,,20210331
195,YWZ,661626,661,626,,20210331
196,YWZ,562000,562,0,,20210331
197,YWZ,470000,470,0,,20210331
198,YWZ,855608,855,608,,20210331
199,YWZ,3003,3,3,,20210331
200,YWZ,1001,1,1,,20210331
201,YWZ,628000,628,0,,20210331
202,YWZ,746000,746,0,,20210331
203,YWZ,354924,354,924,,20210331
204,YWZ,1001,1,1,,20210331
205,YWZ,3003,3,3,,20210331
206,YWZ,742000,742,0,,20210331
207,YWZ,,,,,20210331
208,YWZ,1001,1,1,,20210331
209,YWZ,762000,762,0,,20210331
210,YWZ,3003,3,3,,20210331
211,YWZ,3003,3,3,,20210331
212,YWZ,2002,2,2,,20210331
213,YWZ,3003,3,3,,20210331
214,YWZ,1001,1,1,,20210331
215,YWZ,3003,3,3,,20210331
216,YWZ,742000,742,0,,20210331
217,YWZ,778659,778,659,,20210331
218,YWZ,836735,836,735,,20210331
219,YWZ,3003,3,3,,20210331
220,YWZ,3003,3,3,,20210331
